Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
26-10-2022,08:27,25-10-2022,GENERAL ELECTRIC COMPANY COMMON STOCK,US3696043013,Dividende,,USD,"0,40",USD,"0,34",
26-10-2022,08:27,25-10-2022,GENERAL ELECTRIC COMPANY COMMON STOCK,US3696043013,Dividendensteuer,,USD,"-0,06",USD,"-0,06",
19-10-2022,16:49,19-10-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 11,5 EUR",,,,EUR,"16,83",
19-10-2022,16:49,19-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-11,50",EUR,"5,33",
19-10-2022,07:53,18-10-2022,,,Währungswechsel (Einbuchung),,EUR,"11,50",EUR,"16,83",
19-10-2022,07:53,18-10-2022,,,Währungswechsel (Ausbuchung),"0,9883",USD,"-11,37",USD,"0,00",
18-10-2022,07:50,15-10-2022,CARDINAL HEALTH INC.,US14149Y1082,Dividende,,USD,"13,38",USD,"11,37",
18-10-2022,07:50,15-10-2022,CARDINAL HEALTH INC.,US14149Y1082,Dividendensteuer,,USD,"-2,01",USD,"-2,01",
17-10-2022,10:04,14-10-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 345,73 EUR",,,,EUR,"5,33",
17-10-2022,10:04,14-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"345,73",EUR,"351,06",
14-10-2022,18:30,14-10-2022,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Einbuchung),"0,9711",USD,"334,76",USD,"0,00",a98133f5-7dcf-427c-bc25-60f88e8ba720
14-10-2022,18:30,14-10-2022,AMERICAN ELECTRIC POWER,US0255371017,Währungswechsel (Ausbuchung),,EUR,"-344,73",EUR,"5,33",a98133f5-7dcf-427c-bc25-60f88e8ba720
14-10-2022,18:30,14-10-2022,AMERICAN ELECTRIC POWER,US0255371017,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"350,06",a98133f5-7dcf-427c-bc25-60f88e8ba720
14-10-2022,18:30,14-10-2022,AMERICAN ELECTRIC POWER,US0255371017,"Kauf 4 zu je 83,69 USD (US0255371017)",,USD,"-334,76",USD,"-334,76",a98133f5-7dcf-427c-bc25-60f88e8ba720
13-10-2022,17:19,13-10-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 636,9 EUR",,,,EUR,"351,06",
13-10-2022,17:19,13-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"636,90",EUR,"987,96",
13-10-2022,12:32,13-10-2022,SUEDZUCKER AG,DE0007297004,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-4,90",EUR,"351,06",f5616d5a-e42d-46f8-bee2-59764ec22632
13-10-2022,12:32,13-10-2022,SUEDZUCKER AG,DE0007297004,"Kauf 50 zu je 12,64 EUR (DE0007297004)",,EUR,"-632,00",EUR,"355,96",f5616d5a-e42d-46f8-bee2-59764ec22632
12-10-2022,21:03,12-10-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 570,17 EUR",,,,EUR,"987,96",
12-10-2022,21:03,12-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"570,17",EUR,"1558,13",
12-10-2022,10:18,11-10-2022,,,"Auszahlung von Ihrem Geldkonto bei der flatex Bank: 563,26 EUR",,,,EUR,"987,96",
12-10-2022,10:18,11-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"563,26",EUR,"1551,22",
12-10-2022,09:00,12-10-2022,ISHR UK DIV,IE00B0M63060,Währungswechsel (Einbuchung),"88,1298",GBP,"499,84",GBP,"-0,00",59c21e32-cf87-4abf-b0b5-3087873646b1
12-10-2022,09:00,12-10-2022,ISHR UK DIV,IE00B0M63060,Währungswechsel (Ausbuchung),,EUR,"-567,17",EUR,"987,96",59c21e32-cf87-4abf-b0b5-3087873646b1
12-10-2022,09:00,12-10-2022,ISHR UK DIV,IE00B0M63060,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-3,00",EUR,"1555,13",59c21e32-cf87-4abf-b0b5-3087873646b1
12-10-2022,09:00,12-10-2022,ISHR UK DIV,IE00B0M63060,"Kauf 80 zu je 624,8 GBX (IE00B0M63060)",,GBP,"-499,84",GBP,"-499,84",59c21e32-cf87-4abf-b0b5-3087873646b1
11-10-2022,21:24,11-10-2022,3M COMPANY COMMON STOC,US88579Y1010,Währungswechsel (Einbuchung),"0,9688",USD,"544,70",USD,"0,00",14ec1abd-4f31-4b94-b495-0bc15eff670b
11-10-2022,21:24,11-10-2022,3M COMPANY COMMON STOC,US88579Y1010,Währungswechsel (Ausbuchung),,EUR,"-562,26",EUR,"1558,13",14ec1abd-4f31-4b94-b495-0bc15eff670b
11-10-2022,21:24,11-10-2022,3M COMPANY COMMON STOC,US88579Y1010,DEGIRO Transaktionsgebühren und/oder Fremdkosten,,EUR,"-1,00",EUR,"2120,39",14ec1abd-4f31-4b94-b495-0bc15eff670b
11-10-2022,21:24,11-10-2022,3M COMPANY COMMON STOC,US88579Y1010,"Kauf 5 zu je 108,94 USD (US88579Y1010)",,USD,"-544,70",USD,"-544,70",14ec1abd-4f31-4b94-b495-0bc15eff670b
11-10-2022,14:50,11-10-2022,,,flatex Einzahlung,,EUR,"2000,00",EUR,"2121,39",
10-10-2022,19:04,10-10-2022,,,"Überweisung auf Ihr Geldkonto bei der flatex Bank: 23,85 EUR",,,,EUR,"121,39",
10-10-2022,19:04,10-10-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"-23,85",EUR,"97,54",
